user_id,variant,signup_date,converted,time_to_convert,sessions_7d,retained_7d
1,treatment,2025-01-26 16:25:10,0,,0,0
2,treatment,2025-01-20 14:12:23,0,,0,0
3,treatment,2025-01-19 04:06:46,1,40.22461728959879,2,0
4,treatment,2025-01-21 10:48:11,0,,0,0
5,treatment,2025-01-02 04:42:35,0,,0,0
6,treatment,2025-01-18 00:28:05,1,0.46665047196646775,2,0
7,treatment,2025-01-18 08:55:42,0,,1,0
8,treatment,2025-01-28 10:31:30,0,,1,1
9,treatment,2025-01-17 23:08:09,1,23.055015261973235,3,0
10,treatment,2025-01-30 14:24:49,0,,0,0
11,treatment,2025-01-27 16:23:33,0,,1,0
12,treatment,2025-01-27 14:43:55,0,,3,1
13,treatment,2025-01-16 04:22:16,0,,2,0
14,treatment,2025-01-21 11:00:40,0,,1,0
15,treatment,2025-01-17 11:57:52,1,11.012181235538351,2,1
16,treatment,2025-01-21 02:31:35,0,,1,0
17,treatment,2025-01-22 08:03:20,0,,0,0
18,treatment,2025-01-05 01:34:39,0,,2,0
19,treatment,2025-01-27 14:33:36,0,,3,0
20,treatment,2025-01-20 14:41:30,0,,1,1
21,treatment,2025-01-09 21:46:38,0,,1,0
22,treatment,2025-01-14 08:40:54,0,,1,0
23,treatment,2025-01-12 13:33:58,0,,0,0
24,treatment,2025-01-01 12:06:25,0,,0,0
25,treatment,2025-01-02 06:25:56,0,,1,0
26,treatment,2025-01-14 21:44:42,0,,0,0
27,treatment,2025-01-29 18:06:53,0,,0,0
28,treatment,2025-01-18 09:32:45,1,8.694856657839397,3,0
29,treatment,2025-01-27 04:36:30,0,,0,0
30,treatment,2025-01-25 02:24:23,0,,0,0
31,treatment,2025-01-06 02:09:52,0,,0,0
32,treatment,2025-01-01 18:08:38,0,,0,0
33,treatment,2025-01-09 22:05:46,0,,1,0
34,treatment,2025-01-04 02:52:16,0,,1,0
35,treatment,2025-01-08 21:21:09,0,,2,0
36,treatment,2025-01-30 14:37:11,0,,2,0
37,treatment,2025-01-17 06:01:44,0,,0,0
38,treatment,2025-01-04 14:39:15,0,,0,0
39,treatment,2025-01-11 12:58:01,0,,0,0
40,treatment,2025-01-24 12:49:10,0,,1,0
41,treatment,2025-01-13 05:32:11,0,,0,0
42,treatment,2025-01-22 11:48:46,0,,0,0
43,treatment,2025-01-08 11:14:23,0,,1,1
44,treatment,2025-01-17 08:54:07,0,,2,0
45,treatment,2025-01-09 01:53:22,0,,4,1
46,treatment,2025-01-06 19:12:37,0,,1,0
47,treatment,2025-01-02 13:01:12,1,3.506316322083981,5,1
48,treatment,2025-01-20 18:25:23,0,,2,0
49,treatment,2025-01-02 05:50:50,0,,0,0
50,treatment,2025-01-02 08:19:41,0,,1,0
51,treatment,2025-01-24 07:34:44,0,,1,1
52,treatment,2025-01-09 10:45:03,0,,0,0
53,treatment,2025-01-18 12:58:56,0,,1,0
54,treatment,2025-01-30 00:57:59,0,,1,0
55,treatment,2025-01-08 12:05:07,0,,1,0
56,treatment,2025-01-28 05:07:11,0,,1,0
57,treatment,2025-01-06 03:38:21,1,19.090614310354354,7,1
58,treatment,2025-01-27 23:55:14,0,,1,1
59,treatment,2025-01-23 01:15:24,0,,0,0
60,treatment,2025-01-15 21:15:25,0,,1,0
61,treatment,2025-01-12 12:42:41,0,,1,1
62,treatment,2025-01-20 15:56:45,0,,1,1
63,treatment,2025-01-17 15:35:33,0,,1,0
64,treatment,2025-01-03 21:50:51,0,,1,1
65,treatment,2025-01-06 04:49:55,0,,1,1
66,treatment,2025-01-03 13:54:26,0,,0,0
67,treatment,2025-01-25 14:23:23,0,,0,0
68,treatment,2025-01-03 02:51:02,0,,1,0
69,treatment,2025-01-13 01:47:13,0,,0,0
70,treatment,2025-01-13 08:50:32,0,,0,0
71,treatment,2025-01-05 16:58:36,0,,1,0
72,treatment,2025-01-26 01:12:47,0,,0,0
73,treatment,2025-01-05 02:46:52,0,,0,0
74,treatment,2025-01-01 21:53:01,0,,1,0
75,treatment,2025-01-30 21:15:15,0,,1,0
76,treatment,2025-01-17 07:20:36,0,,0,0
77,treatment,2025-01-11 06:27:05,0,,2,0
78,treatment,2025-01-08 03:56:32,0,,2,0
79,treatment,2025-01-29 08:49:36,0,,2,0
80,treatment,2025-01-04 20:06:33,0,,0,0
81,treatment,2025-01-10 13:08:46,0,,0,0
82,treatment,2025-01-05 11:09:37,0,,0,0
83,treatment,2025-01-08 09:27:53,0,,0,0
84,treatment,2025-01-01 00:54:27,0,,0,0
85,treatment,2025-01-07 04:47:06,0,,2,1
86,treatment,2025-01-08 23:58:15,0,,2,0
87,treatment,2025-01-05 15:16:13,0,,0,0
88,treatment,2025-01-08 19:38:30,0,,1,0
89,treatment,2025-01-19 08:54:21,0,,1,1
90,treatment,2025-01-05 17:53:15,0,,1,0
91,treatment,2025-01-01 14:25:34,0,,1,0
92,treatment,2025-01-13 00:44:18,0,,1,0
93,treatment,2025-01-03 06:56:15,0,,0,0
94,treatment,2025-01-14 21:39:53,0,,1,0
95,treatment,2025-01-01 20:41:00,0,,0,0
96,treatment,2025-01-21 13:23:23,0,,3,1
97,treatment,2025-01-09 07:30:16,0,,1,1
98,treatment,2025-01-16 11:34:42,0,,2,0
99,treatment,2025-01-05 13:35:40,0,,1,0
100,treatment,2025-01-01 07:26:30,0,,1,0
101,treatment,2025-01-10 03:29:01,1,2.5298199186234243,5,1
102,treatment,2025-01-22 15:03:19,0,,1,0
103,treatment,2025-01-17 22:48:12,1,44.35442458320018,5,0
104,treatment,2025-01-22 16:23:41,0,,2,0
105,treatment,2025-01-11 16:50:18,0,,3,0
106,treatment,2025-01-19 02:14:59,0,,0,0
107,treatment,2025-01-16 13:20:27,1,73.29920245045135,6,0
108,treatment,2025-01-14 12:03:08,0,,1,0
109,treatment,2025-01-06 12:46:47,0,,1,0
110,treatment,2025-01-13 20:26:29,0,,1,0
111,treatment,2025-01-02 13:33:50,0,,2,1
112,treatment,2025-01-04 03:14:06,0,,0,0
113,treatment,2025-01-24 02:14:29,0,,2,0
114,treatment,2025-01-27 14:09:56,0,,1,0
115,treatment,2025-01-13 14:02:21,0,,0,0
116,treatment,2025-01-10 18:18:43,0,,2,1
117,treatment,2025-01-06 21:09:13,0,,2,0
118,treatment,2025-01-20 10:35:48,1,31.386836215291247,9,0
119,treatment,2025-01-07 08:50:22,0,,1,0
120,treatment,2025-01-23 08:44:07,0,,0,0
121,treatment,2025-01-09 04:34:49,0,,1,0
122,treatment,2025-01-19 01:08:32,0,,2,0
123,treatment,2025-01-30 05:55:54,0,,0,0
124,treatment,2025-01-08 15:46:54,0,,0,0
125,treatment,2025-01-27 14:53:18,0,,1,0
126,treatment,2025-01-27 06:24:24,0,,1,1
127,treatment,2025-01-11 18:00:18,1,3.7009468813116175,2,1
128,treatment,2025-01-26 23:38:51,0,,0,0
129,treatment,2025-01-25 05:42:37,0,,0,0
130,treatment,2025-01-25 13:01:13,0,,1,0
131,treatment,2025-01-17 13:05:51,1,6.4835368625730165,4,1
132,treatment,2025-01-05 12:13:13,0,,2,1
133,treatment,2025-01-16 03:11:46,0,,2,1
134,treatment,2025-01-08 07:04:25,0,,1,0
135,treatment,2025-01-27 20:10:49,0,,1,0
136,treatment,2025-01-08 15:02:36,0,,2,1
137,treatment,2025-01-25 13:47:01,0,,1,1
138,treatment,2025-01-29 11:21:12,0,,2,0
139,treatment,2025-01-14 10:32:37,0,,0,0
140,treatment,2025-01-11 22:26:29,0,,0,0
141,treatment,2025-01-26 02:37:35,0,,0,0
142,treatment,2025-01-10 23:35:57,0,,1,0
143,treatment,2025-01-12 23:00:55,0,,4,0
144,treatment,2025-01-26 13:42:53,0,,2,0
145,treatment,2025-01-26 20:44:53,0,,1,0
146,treatment,2025-01-28 00:00:11,0,,1,0
147,treatment,2025-01-04 06:32:42,0,,0,0
148,treatment,2025-01-07 14:47:30,1,8.207672027608465,1,0
149,treatment,2025-01-05 09:14:52,0,,0,0
150,treatment,2025-01-08 14:25:02,0,,2,0
151,treatment,2025-01-12 16:54:53,0,,2,0
152,treatment,2025-01-29 06:50:51,0,,2,0
153,treatment,2025-01-18 04:07:04,0,,2,1
154,treatment,2025-01-22 11:26:59,0,,2,0
155,treatment,2025-01-13 14:18:07,0,,0,0
156,treatment,2025-01-27 19:08:06,0,,1,0
157,treatment,2025-01-30 00:52:29,1,5.2019967683735135,5,0
158,treatment,2025-01-16 05:35:28,0,,2,0
159,treatment,2025-01-22 23:38:12,0,,0,0
160,treatment,2025-01-23 00:33:07,0,,2,0
161,treatment,2025-01-14 22:15:58,0,,1,0
162,treatment,2025-01-26 00:32:04,0,,1,1
163,treatment,2025-01-30 06:47:14,0,,2,0
164,treatment,2025-01-20 02:06:29,0,,1,0
165,treatment,2025-01-15 12:46:04,0,,0,0
166,treatment,2025-01-08 18:18:08,1,41.13387045081393,7,1
167,treatment,2025-01-06 18:31:56,0,,2,1
168,treatment,2025-01-24 22:23:21,0,,0,0
169,treatment,2025-01-06 17:23:12,0,,1,0
170,treatment,2025-01-04 16:26:48,0,,0,0
171,treatment,2025-01-11 05:39:37,0,,1,0
172,treatment,2025-01-14 14:18:57,0,,2,0
173,treatment,2025-01-09 22:14:13,0,,1,0
174,treatment,2025-01-05 10:25:52,0,,0,0
175,treatment,2025-01-19 10:12:41,1,21.78536394071978,3,1
176,treatment,2025-01-13 00:34:56,0,,0,0
177,treatment,2025-01-02 13:05:54,0,,1,1
178,treatment,2025-01-21 17:19:40,0,,2,0
179,treatment,2025-01-16 02:39:45,0,,1,0
180,treatment,2025-01-22 23:49:23,0,,2,0
181,treatment,2025-01-23 02:43:57,0,,4,0
182,treatment,2025-01-01 21:10:18,0,,1,0
183,treatment,2025-01-21 00:01:36,0,,3,0
184,treatment,2025-01-04 16:01:55,0,,0,0
185,treatment,2025-01-09 21:32:14,0,,0,0
186,treatment,2025-01-22 06:57:13,1,4.661005604796304,1,0
187,treatment,2025-01-27 03:40:43,0,,2,0
188,treatment,2025-01-23 10:17:58,1,35.5162862205511,4,0
